TopLevelDescription,GradeLevelText,TypeName,Description,CompleteNumber
English Language Arts,12th Grade,Subject Area,English Language Arts,CC.1
"Foundational Skills: Students gain a working knowledge of  concepts of print, alphabetic principle, and other basic conventions.",12th Grade,Standard Area,"Foundational Skills: Students gain a working knowledge of  concepts of print, alphabetic principle, and other basic conventions.",CC.1.1
GRADE 1,1st Grade,Grade Level,GRADE 1,CC.1.1.1
Demonstrate understanding of the organization and basic features of print.  • Recognize the distinguishing features of a sentence. ,1st Grade,Standard,Demonstrate understanding of the organization and basic features of print.  • Recognize the distinguishing features of a sentence. ,CC.1.1.1.B
"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).  • Distinguish long from short vowel sounds in spoken single-syllable words.  • Count, pronounce, blend, and segment syllables in spoken and written words.  • Orally produce single-syllable words, including consonant blends and digraphs.   • Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.   • Add or substitute individual sounds (phonemes) in one-syllable words to make new words.",1st Grade,Standard,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).  • Distinguish long from short vowel sounds in spoken single-syllable words.  • Count, pronounce, blend, and segment syllables in spoken and written words.  • Orally produce single-syllable words, including consonant blends and digraphs.   • Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.   • Add or substitute individual sounds (phonemes) in one-syllable words to make new words.",CC.1.1.1.C
"Know and apply grade-level phonics and word analysis skills in decoding words.  • Identify common consonant diagraphs, final-e, and common vowel teams.  • Decode one and two-syllable words with common patterns.  • Read grade-level words with inflectional endings.  • Read grade-appropriate irregularly spelled words.",1st Grade,Standard,"Know and apply grade-level phonics and word analysis skills in decoding words.  • Identify common consonant diagraphs, final-e, and common vowel teams.  • Decode one and two-syllable words with common patterns.  • Read grade-level words with inflectional endings.  • Read grade-appropriate irregularly spelled words.",CC.1.1.1.D
"Read with accuracy and fluency to support comprehension:   • Read on-level text with purpose and understanding.  • Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.  • Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",1st Grade,Standard,"Read with accuracy and fluency to support comprehension:   • Read on-level text with purpose and understanding.  • Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.  • Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",CC.1.1.1.E
"Reading Informational Text: Students read, understand, and respond to informational text – with emphasis on comprehension, making connections among ideas and between texts with focus on textual evidence.",12th Grade,Standard Area,"Reading Informational Text: Students read, understand, and respond to informational text – with emphasis on comprehension, making connections among ideas and between texts with focus on textual evidence.",CC.1.2
GRADE 1,1st Grade,Grade Level,GRADE 1,CC.1.2.1
Identify the main idea and retell key details of text. ,1st Grade,Standard,Identify the main idea and retell key details of text. ,CC.1.2.1.A
Ask and answer questions about key details in a text. ,1st Grade,Standard,Ask and answer questions about key details in a text. ,CC.1.2.1.B
"Describe the connection between two individual, events, ideas, or pieces of information in a text. ",1st Grade,Standard,"Describe the connection between two individual, events, ideas, or pieces of information in a text. ",CC.1.2.1.C
Use various text features and search tools to locate key facts or information in a text.,1st Grade,Standard,Use various text features and search tools to locate key facts or information in a text.,CC.1.2.1.E
Ask and answer questions to help determine or clarify the meaning of words and phrases in a text. ,1st Grade,Standard,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text. ,CC.1.2.1.F
Use the illustrations and details in a text to describe its key ideas. ,1st Grade,Standard,Use the illustrations and details in a text to describe its key ideas. ,CC.1.2.1.G
Identify the reasons an author gives to support points in a text. ,1st Grade,Standard,Identify the reasons an author gives to support points in a text. ,CC.1.2.1.H
Identify basic similarities in and differences between two texts on the same topic.,1st Grade,Standard,Identify basic similarities in and differences between two texts on the same topic.,CC.1.2.1.I
"Use words and phrases acquired through conversations, reading, and being read to, and responding to texts, including words that signal connections and relationships between the words and phrases. ",1st Grade,Standard,"Use words and phrases acquired through conversations, reading, and being read to, and responding to texts, including words that signal connections and relationships between the words and phrases. ",CC.1.2.1.J
Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade-level reading and content. ,1st Grade,Standard,Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade-level reading and content. ,CC.1.2.1.K
"Read and comprehend literary non-fiction and informational text on grade level, reading independently and proficiently.",1st Grade,Standard,"Read and comprehend literary non-fiction and informational text on grade level, reading independently and proficiently.",CC.1.2.1.L
"Reading Literature: Students read and respond to works of literature - with emphasis on comprehension, making connections among ideas and between texts with focus on textual evidence.",12th Grade,Standard Area,"Reading Literature: Students read and respond to works of literature - with emphasis on comprehension, making connections among ideas and between texts with focus on textual evidence.",CC.1.3
GRADE 1,1st Grade,Grade Level,GRADE 1,CC.1.3.1
"Retell stories, including key details, and demonstrate understanding of their central message or lesson. ",1st Grade,Standard,"Retell stories, including key details, and demonstrate understanding of their central message or lesson. ",CC.1.3.1.A
Ask and answer questions about key details in a text. ,1st Grade,Standard,Ask and answer questions about key details in a text. ,CC.1.3.1.B
"Describe characters, settings, and major events in a story, using key details. ",1st Grade,Standard,"Describe characters, settings, and major events in a story, using key details. ",CC.1.3.1.C
Identify who is telling the story at various points in a text. ,1st Grade,Standard,Identify who is telling the story at various points in a text. ,CC.1.3.1.D
